,Household_ID,Daily_Water_Usage_Liters,Number_of_Family_Members,Type_of_Residence,Water_Source,Monthly_Water_Bill,Smart_Meter_Reading,Leakage_Detection,Region,Income_Bracket,Number_of_Bathrooms,Average_Shower_Time_Minutes,Rainwater_Harvesting
158,HH000159,140.43,3,house,municipal,20.06,137.57,No,Urban,Medium,1.0,3.9,No
160,HH000161,151.27,7.0,apartment,municipal,21.71,149.5,No,Urban,Medium,1,5.58,Yes
170,HH000171,155.52,2.0,apartment,municipal,21.73,153.85,No,Urban,Low,1.0,9.93,No
171,HH000172,159.21,3.0,apartment,borewell,22.62,155.46,No,Urban,Low,3.0,8.25,No
180,HH000181,231.28,2.0,house,municipal,36.97,232.03,No,Urban,Medium,1,10.55,Yes
181,HH000182,157.14,3,apartment,municipal,22.64,156.27,No,Suburban,Medium,1,6.9,No
184,HH000185,188.83,6.0,apartment,municipal,28.05,187.24,No,Urban,High,3.0,13.2,No
200,HH000201,217.89,6.0,apartment,municipal,30.77,213.77,No,Urban,High,2.0,5.74,No
201,HH000202,228.04,8.0,apartment,municipal,34.92,228.76,No,Urban,Low,1.0,7.06,No
210,HH000211,228.54,3,house,municipal,36.91,232.47,No,Rural,High,2.0,9.81,No
213,HH000214,232.57,2.0,apartment,municipal,35.79,222.79,No,Urban,Medium,1.0,10.08,No
215,HH000216,237.95,3.0,apartment,municipal,33.97,246.61,No,Rural,Low,1.0,6.94,No
216,HH000217,161.36,3,apartment,municipal,22.95,169.33,No,Urban,Medium,2.0,9.16,No
217,HH000218,188.16,4.0,apartment,municipal,28.9,180.17,No,Urban,Medium,1,12.64,No
219,HH000220,204.09,4.0,apartment,municipal,29.12,193.07,No,Urban,Medium,1.0,9.1,No
226,HH000227,203.21,4.0,house,municipal,29.03,201.56,No,Urban,Medium,1.0,10.58,No
233,HH000234,167.42,7.0,house,rainwater harvesting,27.01,164.54,No,Rural,Low,3.0,9.76,Yes
237,HH000238,209.32,3.0,house,municipal,31.37,207.31,No,Urban,Low,1.0,7.36,No
239,HH000240,242.62,5.0,apartment,municipal,35.12,240.72,No,Rural,Medium,1.0,7.65,No
240,HH000241,160.37,3,apartment,municipal,24.74,157.65,No,Suburban,Medium,1,4.53,No
242,HH000243,225.25,3,house,well,31.81,225.9,No,Suburban,Medium,2.0,4.94,Yes
246,HH000247,176.25,8.0,house,municipal,24.78,174.74,No,Urban,Medium,2.0,7.6,No
248,HH000249,288.27,3.0,apartment,municipal,43.67,288.72,No,Urban,High,4.0,3.0,No
266,HH000267,281.62,5.0,apartment,borewell,38.89,285.52,No,Urban,Medium,2.0,6.31,Yes
269,HH000270,206.54,6.0,apartment,municipal,29.58,197.02,No,Rural,Medium,1,9.86,No
270,HH000271,272.06,1.0,house,municipal,37.07,273.58,No,Urban,Medium,1.0,8.28,No
273,HH000274,200.51,2.0,apartment,municipal,28.06,197.92,No,Urban,Medium,3.0,6.18,No
274,HH000275,150.92,3,apartment,municipal,24.44,146.95,No,Rural,Low,2.0,12.06,No
276,HH000277,209.95,5.0,apartment,municipal,30.24,202.21,No,Urban,Low,4.0,5.57,No
284,HH000285,306.65,4.0,apartment,municipal,42.69,314.89,No,Urban,Medium,2.0,6.85,No
286,HH000287,192.41,3,apartment,municipal,27.31,195.28,No,Urban,Medium,1,7.11,No
291,HH000292,175.35,3,apartment,municipal,24.52,167.55,No,Suburban,Medium,1.0,10.27,No
295,HH000296,165.35,5.0,house,rainwater harvesting,27.19,156.12,No,Urban,Low,1.0,9.38,No
317,HH000318,184.49,3,apartment,municipal,25.88,184.64,No,Urban,High,2.0,10.97,No
318,HH000319,216.21,3,apartment,rainwater harvesting,31.96,208.38,No,Suburban,Medium,1.0,3.52,No
319,HH000320,193.49,5.0,house,municipal,31.37,196.68,No,Urban,Medium,2.0,6.59,No
327,HH000328,239.58,3.0,apartment,municipal,34.81,233.44,No,Urban,Medium,1,3.0,No
336,HH000337,158.73,3,apartment,well,23.78,159.05,No,Urban,Medium,3.0,7.56,No
355,HH000356,149.87,1.0,apartment,municipal,22.22,152.64,No,Urban,High,2.0,6.79,No
365,HH000366,179.94,4.0,apartment,municipal,29.42,190.33,No,Urban,Medium,1,8.85,Yes
371,HH000372,224.9,2.0,house,municipal,34.21,221.72,No,Rural,Medium,2.0,13.43,No
383,HH000384,173.71,5.0,apartment,municipal,26.9,173.24,No,Rural,Low,1.0,3.0,No
386,HH000387,217.09,7.0,apartment,municipal,34.03,216.22,No,Urban,Low,2.0,14.0,No
394,HH000395,258.97,3.0,apartment,municipal,36.4,258.98,No,Suburban,Medium,3.0,6.26,No
399,HH000400,261.89,2.0,apartment,municipal,40.91,262.56,No,Urban,Medium,3.0,5.73,No
402,HH000403,200.26,3,house,municipal,29.15,208.48,No,Urban,High,1,7.08,No
412,HH000413,123.29,3,house,municipal,18.43,114.57,No,Urban,Medium,4.0,5.58,No
416,HH000417,277.56,4.0,house,borewell,43.48,274.14,No,Urban,Medium,2.0,6.72,No
417,HH000418,205.78,3,apartment,municipal,32.69,199.97,No,Urban,Low,3.0,8.03,No
433,HH000434,235.88,5.0,apartment,municipal,32.68,234.05,No,Rural,Low,2.0,14.03,No
437,HH000438,130.99,3.0,apartment,municipal,20.99,127.08,No,Urban,Low,1.0,3.0,No
438,HH000439,114.83,4.0,apartment,municipal,15.57,113.38,No,Urban,Medium,1,4.69,No
439,HH000440,197.22,6.0,house,municipal,27.07,197.5,No,Urban,Medium,2.0,4.14,No
441,HH000442,198.37,3,apartment,municipal,27.29,209.09,No,Urban,Low,1,3.46,No
447,HH000448,153.01,3,house,municipal,21.58,155.62,No,Rural,Medium,2.0,7.38,No
451,HH000452,247.76,3.0,house,borewell,36.43,249.84,No,Suburban,Medium,2.0,7.13,No
453,HH000454,225.2,2.0,house,municipal,36.54,226.21,No,Urban,Medium,1.0,14.03,No
461,HH000462,201.76,6.0,apartment,municipal,27.34,203.67,No,Urban,Medium,1,5.91,No
468,HH000469,173.47,5.0,house,municipal,27.33,178.51,No,Urban,High,3.0,7.86,Yes
470,HH000471,186.25,3,apartment,municipal,30.07,187.61,No,Urban,Medium,1.0,7.52,No
479,HH000480,255.98,3,apartment,municipal,40.4,249.33,No,Rural,Medium,1,6.38,No
486,HH000487,167.67,3,apartment,borewell,25.5,164.37,No,Suburban,High,4.0,8.2,No
508,HH000509,202.43,3,apartment,municipal,27.45,200.03,No,Urban,Medium,1.0,11.4,No
510,HH000511,213.52,2.0,apartment,municipal,30.03,213.9,No,Suburban,Medium,1.0,8.87,No
514,HH000515,171.16,3.0,apartment,borewell,28.17,178.04,No,Urban,Low,1,7.6,Yes
517,HH000518,151.12,3,house,municipal,20.54,146.06,No,Urban,Medium,2.0,4.67,No
524,HH000525,161.84,6.0,apartment,municipal,22.08,155.77,No,Urban,Medium,2.0,6.94,No
533,HH000534,139.45,3.0,apartment,municipal,22.55,142.73,No,Urban,Medium,1.0,7.21,No
537,HH000538,180.77,3,apartment,municipal,25.54,176.63,No,Urban,Low,1.0,3.97,No
543,HH000544,272.08,3,apartment,municipal,44.1,273.62,No,Urban,High,2.0,5.35,No
544,HH000545,76.42,2.0,apartment,municipal,11.9,82.07,No,Urban,Medium,1.0,6.87,No
547,HH000548,189.85,6.0,house,municipal,30.56,192.99,No,Urban,Medium,2.0,5.85,No
549,HH000550,169.8,3,apartment,municipal,27.86,172.4,No,Urban,Medium,1.0,9.7,No
550,HH000551,204.33,3.0,house,rainwater harvesting,31.02,200.64,No,Suburban,Low,1.0,9.07,No
558,HH000559,219.72,2.0,apartment,rainwater harvesting,36.17,226.66,No,Suburban,High,3.0,5.15,No
564,HH000565,260.06,3,apartment,municipal,39.51,252.14,No,Suburban,Low,4.0,11.6,No
583,HH000584,313.53,3,house,municipal,43.69,313.94,Yes,Urban,Low,1,6.89,No
584,HH000585,209.09,4.0,apartment,municipal,34.36,206.24,No,Urban,Low,2.0,12.94,No
593,HH000594,216.68,3,apartment,municipal,30.79,225.55,No,Urban,Medium,2.0,3.76,No
597,HH000598,151.06,4.0,house,municipal,21.71,152.27,No,Rural,Medium,2.0,10.31,No
603,HH000604,267.78,3,apartment,borewell,36.28,275.76,No,Rural,Medium,1,6.62,No
615,HH000616,206.46,3,house,well,29.42,206.62,No,Urban,High,1,6.17,No
620,HH000621,160.48,3,apartment,municipal,22.0,155.77,No,Urban,Medium,1.0,8.72,No
623,HH000624,267.27,4.0,apartment,municipal,38.45,272.34,No,Suburban,Medium,1.0,9.22,No
627,HH000628,193.71,3,apartment,municipal,28.8,193.67,No,Suburban,Medium,1.0,4.49,Yes
631,HH000632,276.48,3.0,apartment,municipal,37.92,281.3,No,Suburban,Medium,2.0,5.61,Yes
632,HH000633,192.1,5.0,house,municipal,30.0,194.19,No,Rural,High,1.0,7.92,No
634,HH000635,149.39,1.0,house,borewell,21.87,138.56,No,Urban,Medium,1,12.32,Yes
644,HH000645,187.71,10.0,apartment,municipal,30.54,188.94,No,Urban,Low,1.0,4.46,No
645,HH000646,186.36,1.0,apartment,municipal,30.12,181.25,No,Urban,Medium,1.0,3.0,No
652,HH000653,186.56,3,house,borewell,30.11,190.83,No,Urban,Low,2.0,8.8,No
653,HH000654,144.67,1.0,apartment,rainwater harvesting,23.25,138.34,No,Urban,Medium,2.0,6.57,No
663,HH000664,172.83,6.0,apartment,well,27.58,171.68,No,Urban,Medium,1,3.0,No
671,HH000672,96.33,4.0,apartment,municipal,14.19,93.34,No,Rural,High,1,7.3,No
672,HH000673,182.87,3,apartment,municipal,29.52,172.03,No,Urban,Low,1,8.78,Yes
676,HH000677,144.47,3,house,municipal,23.36,140.82,No,Urban,Medium,1,6.66,No
678,HH000679,246.78,3,apartment,municipal,39.43,255.89,No,Urban,Medium,1.0,3.0,No
679,HH000680,263.58,5.0,house,municipal,39.72,270.06,No,Suburban,Low,2.0,10.28,No
685,HH000686,235.65,3.0,apartment,borewell,32.07,228.15,No,Urban,Low,2.0,10.28,No
692,HH000693,145.95,3,apartment,municipal,23.31,140.05,No,Suburban,Low,3.0,4.32,No
696,HH000697,216.31,5.0,apartment,municipal,31.44,212.86,No,Urban,Medium,1,8.87,No
698,HH000699,246.2,5.0,apartment,municipal,40.62,252.41,No,Suburban,Medium,2.0,6.67,No
702,HH000703,164.78,3,apartment,municipal,22.6,167.17,No,Urban,Medium,3.0,5.96,No
703,HH000704,129.58,4.0,apartment,borewell,17.72,132.83,No,Urban,Medium,1,14.12,No
706,HH000707,135.98,4.0,apartment,municipal,22.07,129.28,No,Urban,Medium,3.0,7.61,No
729,HH000730,161.08,3,house,municipal,24.51,160.83,No,Urban,Medium,2.0,3.0,No
743,HH000744,201.3,5.0,apartment,municipal,29.87,209.84,No,Urban,Medium,1,6.87,No
745,HH000746,163.71,2.0,apartment,municipal,23.03,172.22,No,Suburban,Low,1.0,7.2,No
748,HH000749,169.42,3,apartment,municipal,26.42,169.77,No,Suburban,Medium,4.0,12.19,No
750,HH000751,153.84,3.0,house,municipal,24.75,157.88,No,Suburban,High,1,4.98,No
753,HH000754,252.68,2.0,apartment,municipal,36.23,257.82,No,Urban,Medium,2.0,6.94,No
757,HH000758,209.24,5.0,house,municipal,30.79,210.3,No,Rural,Low,2.0,10.25,No
759,HH000760,235.02,3,apartment,rainwater harvesting,34.38,230.07,No,Urban,Medium,1,7.52,No
764,HH000765,257.46,3.0,house,municipal,39.58,260.15,No,Urban,Medium,1.0,3.23,No
775,HH000776,121.49,5.0,apartment,municipal,18.1,119.42,No,Rural,Low,1.0,5.35,No
780,HH000781,208.89,5.0,apartment,municipal,31.94,197.78,No,Suburban,Medium,1,11.64,No
782,HH000783,219.01,3.0,apartment,municipal,31.42,216.09,No,Urban,Medium,1,3.93,Yes
787,HH000788,222.96,8.0,apartment,municipal,36.75,218.52,No,Urban,Medium,1.0,5.2,No
801,HH000802,174.2,3.0,house,municipal,27.83,174.77,No,Urban,Medium,1.0,8.27,No
807,HH000808,176.06,4.0,apartment,municipal,27.06,175.11,No,Urban,Medium,2.0,3.69,No
813,HH000814,209.83,6.0,apartment,municipal,31.28,209.69,No,Rural,Low,2.0,11.71,No
817,HH000818,244.48,3,house,municipal,36.36,253.05,No,Suburban,Medium,1,7.93,No
818,HH000819,204.11,2.0,apartment,municipal,29.71,204.77,No,Urban,Medium,2.0,7.25,No
819,HH000820,253.27,3,apartment,municipal,36.69,256.83,No,Urban,Medium,1.0,10.56,No
820,HH000821,174.14,3,apartment,municipal,23.97,175.67,No,Urban,Medium,1,10.71,No
825,HH000826,272.67,3,apartment,borewell,41.86,276.63,No,Urban,Medium,1,8.71,No
843,HH000844,219.12,7.0,apartment,municipal,36.13,219.73,No,Suburban,Low,1,6.76,No
849,HH000850,173.45,1.0,apartment,municipal,26.36,170.94,No,Urban,Low,1,11.6,No
851,HH000852,172.23,2.0,apartment,municipal,24.0,175.19,No,Suburban,Medium,1.0,7.77,No
855,HH000856,171.46,3,apartment,municipal,25.92,171.98,Yes,Rural,Medium,1,12.34,No
871,HH000872,160.09,5.0,apartment,rainwater harvesting,24.59,153.15,No,Suburban,Medium,1,12.67,No
872,HH000873,131.03,4.0,house,municipal,20.04,133.28,No,Urban,High,1.0,6.47,No
873,HH000874,163.45,3,apartment,municipal,24.08,159.59,No,Rural,Medium,1.0,8.8,No
876,HH000877,174.12,2.0,apartment,municipal,28.04,169.66,No,Suburban,Medium,2.0,7.3,No
877,HH000878,211.19,3,apartment,rainwater harvesting,30.94,219.79,No,Urban,Medium,3.0,6.15,No
878,HH000879,199.18,7.0,apartment,municipal,31.09,195.72,No,Urban,Medium,1.0,10.54,No
879,HH000880,259.42,2.0,apartment,well,41.26,252.49,No,Rural,Medium,1,6.22,No
883,HH000884,252.21,3,apartment,municipal,40.39,253.29,No,Urban,Medium,1.0,3.0,No
886,HH000887,229.2,4.0,house,borewell,33.47,233.77,No,Suburban,High,1,13.76,No
889,HH000890,255.44,2.0,apartment,municipal,41.46,261.5,Yes,Rural,Medium,2.0,6.34,Yes
890,HH000891,241.02,4.0,apartment,municipal,39.13,238.35,No,Urban,Low,1,11.47,No
891,HH000892,225.36,3,house,rainwater harvesting,32.31,224.86,No,Suburban,Medium,2.0,3.99,No
897,HH000898,207.34,3,house,municipal,31.36,202.8,No,Urban,Medium,1.0,10.38,No
902,HH000903,201.44,2.0,apartment,municipal,27.58,202.19,No,Urban,High,1.0,9.22,No
916,HH000917,230.39,1.0,apartment,municipal,32.75,229.65,No,Suburban,Medium,2.0,8.2,No
923,HH000924,164.99,1.0,apartment,municipal,26.08,159.13,No,Suburban,High,1.0,10.33,No
924,HH000925,259.75,3,apartment,municipal,41.9,261.7,No,Urban,Medium,1,8.78,No
930,HH000931,172.24,5.0,house,municipal,23.93,181.93,No,Rural,Medium,1.0,9.64,No
932,HH000933,127.6,2.0,house,borewell,19.44,127.45,No,Rural,Medium,1,3.82,Yes
934,HH000935,222.0,3.0,house,municipal,30.82,222.42,No,Rural,Medium,2.0,8.34,No
941,HH000942,243.62,3,apartment,municipal,34.45,241.55,No,Urban,High,1,3.0,No
952,HH000953,137.42,3.0,apartment,rainwater harvesting,22.36,137.51,No,Rural,Medium,1,8.43,No
955,HH000956,255.86,4.0,apartment,municipal,36.83,265.59,No,Suburban,Low,2.0,10.36,No
962,HH000963,209.83,3,apartment,municipal,33.66,200.26,No,Urban,Low,2.0,5.25,No
973,HH000974,167.37,5.0,apartment,municipal,25.41,169.07,No,Urban,Medium,1.0,3.0,No
974,HH000975,177.69,7.0,apartment,municipal,25.91,180.29,No,Urban,Medium,1.0,6.22,No
976,HH000977,177.38,6.0,apartment,borewell,27.71,174.65,No,Suburban,High,2.0,10.94,No
992,HH000993,187.64,5.0,house,municipal,30.5,190.88,Yes,Urban,High,1.0,9.86,No
996,HH000997,289.88,5.0,apartment,municipal,44.41,290.06,No,Urban,Medium,2.0,5.53,No
1007,HH001008,231.76,3,apartment,municipal,33.75,230.43,No,Urban,Medium,1,7.37,No
1008,HH001009,252.48,4.0,apartment,rainwater harvesting,38.45,251.36,No,Rural,High,2.0,10.24,No
1030,HH001031,187.13,3,apartment,borewell,29.43,189.28,No,Rural,Medium,1.0,6.47,No
1032,HH001033,219.96,3.0,house,borewell,30.73,222.29,Yes,Rural,Medium,2.0,9.53,No
1039,HH001040,252.35,4.0,house,municipal,34.79,254.92,No,Suburban,Medium,1,14.83,No
1045,HH001046,244.18,3,apartment,municipal,35.71,240.33,No,Urban,Low,1.0,8.16,No
1055,HH001056,166.42,2.0,house,municipal,26.82,163.78,No,Urban,Low,1,5.17,No
1056,HH001057,198.72,2.0,apartment,borewell,31.38,191.07,No,Suburban,Medium,1,9.46,No
1070,HH001071,197.65,6.0,apartment,well,31.93,190.19,No,Urban,High,1,10.07,No
1072,HH001073,203.84,2.0,apartment,municipal,31.58,207.76,No,Urban,Medium,1,5.37,No
1080,HH001081,182.57,6.0,apartment,municipal,25.52,183.84,No,Urban,Medium,1,11.65,No
1083,HH001084,303.84,3,apartment,municipal,41.66,295.68,No,Urban,Medium,3.0,3.87,No
1095,HH001096,195.96,4.0,apartment,municipal,28.84,198.32,No,Suburban,Medium,3.0,9.64,No
1096,HH001097,203.93,3.0,apartment,municipal,32.48,210.09,No,Suburban,High,1,8.12,No
1109,HH001110,295.7,3,apartment,municipal,45.71,296.67,No,Urban,Low,2.0,6.91,No
1110,HH001111,190.47,3,apartment,municipal,27.49,184.64,No,Suburban,Medium,1,4.32,No
1120,HH001121,255.28,6.0,apartment,municipal,35.67,252.4,No,Suburban,Medium,1,7.53,No
1128,HH001129,196.79,3.0,apartment,municipal,28.45,196.5,No,Urban,Medium,1.0,9.31,No
1134,HH001135,187.79,3.0,apartment,municipal,27.32,184.99,No,Rural,Medium,1,6.27,No
1136,HH001137,259.47,4.0,apartment,municipal,38.31,262.34,No,Urban,Medium,1.0,10.31,No
1138,HH001139,229.87,2.0,apartment,municipal,31.7,220.82,No,Suburban,Medium,1,8.37,No
1147,HH001148,128.0,3.0,house,municipal,20.4,129.95,No,Suburban,Medium,2.0,7.72,No
1150,HH001151,150.43,3,apartment,municipal,23.87,147.26,No,Urban,Low,2.0,8.54,No
1159,HH001160,183.76,5.0,apartment,municipal,28.51,186.1,No,Urban,Low,1.0,7.25,No
1164,HH001165,251.13,3,apartment,rainwater harvesting,39.65,245.56,No,Rural,Medium,4.0,5.22,No
1165,HH001166,321.99,3,house,municipal,44.75,322.42,No,Urban,Medium,2.0,11.5,No
1166,HH001167,269.21,7.0,apartment,municipal,37.37,270.01,No,Suburban,Medium,2.0,3.21,No
1168,HH001169,229.74,3,apartment,municipal,36.43,227.74,No,Rural,High,2.0,6.92,No
1171,HH001172,214.06,5.0,house,municipal,30.06,219.2,No,Urban,High,1.0,6.03,No
1179,HH001180,144.82,3,house,municipal,23.62,143.83,No,Rural,Medium,1.0,8.42,No
1181,HH001182,269.6,2.0,apartment,borewell,38.36,270.85,No,Urban,Medium,1,9.89,No
1184,HH001185,150.52,3,apartment,municipal,22.3,149.21,No,Urban,Medium,1.0,8.04,No
1205,HH001206,202.03,3,apartment,municipal,33.14,202.82,No,Urban,Medium,1.0,8.2,No
1213,HH001214,244.75,2.0,apartment,municipal,39.62,245.33,No,Rural,Medium,2.0,5.54,No
1221,HH001222,215.49,4.0,apartment,municipal,35.17,221.36,No,Urban,Medium,1.0,11.37,No
1222,HH001223,231.69,4.0,apartment,municipal,31.47,226.96,No,Urban,Medium,2.0,8.21,No
1239,HH001240,281.42,3.0,apartment,well,41.97,277.85,No,Urban,Medium,3.0,4.02,No
1244,HH001245,167.54,1.0,apartment,municipal,24.33,170.05,No,Suburban,Medium,1,10.18,No
1249,HH001250,122.21,5.0,apartment,municipal,19.06,126.77,No,Urban,Low,1,10.32,No
1251,HH001252,241.68,5.0,apartment,municipal,35.24,246.43,No,Suburban,Low,1.0,12.03,No
1252,HH001253,100.31,5.0,apartment,municipal,15.63,110.81,Yes,Suburban,Medium,1,8.46,No
1254,HH001255,261.38,4.0,apartment,municipal,38.12,276.15,No,Urban,Low,3.0,6.52,No
1263,HH001264,153.97,3,apartment,municipal,25.4,156.3,No,Urban,Low,3.0,8.61,No
1267,HH001268,154.8,2.0,house,municipal,25.1,155.97,No,Urban,Low,2.0,5.76,No
1268,HH001269,163.22,3,apartment,municipal,22.55,161.85,No,Urban,Low,1,7.83,No
1270,HH001271,254.57,4.0,house,municipal,37.61,255.79,No,Urban,Medium,1,7.13,No
1272,HH001273,145.38,3.0,apartment,municipal,21.64,137.21,No,Urban,Medium,1,10.86,No
1273,HH001274,184.18,2.0,house,municipal,28.42,190.16,No,Urban,High,1,7.54,No
1277,HH001278,219.67,4.0,apartment,rainwater harvesting,35.84,219.29,No,Urban,Low,1.0,3.06,No
1278,HH001279,209.6,3,apartment,municipal,28.37,216.35,No,Suburban,Medium,1,7.1,No
1287,HH001288,225.4,2.0,apartment,municipal,33.52,231.01,No,Suburban,Medium,1.0,6.87,No
1288,HH001289,144.83,5.0,house,municipal,20.53,142.12,No,Urban,High,1.0,5.78,No
1290,HH001291,219.43,7.0,house,municipal,32.05,215.51,No,Urban,High,4.0,11.73,No
1291,HH001292,324.65,7.0,apartment,municipal,47.87,319.23,No,Urban,Medium,3.0,8.46,No
1298,HH001299,213.37,1.0,house,municipal,29.22,211.8,No,Urban,Medium,1.0,6.24,No
1302,HH001303,191.25,6.0,apartment,municipal,27.95,194.68,No,Urban,Medium,2.0,8.85,Yes
1313,HH001314,227.89,3,house,borewell,37.56,231.38,No,Urban,Medium,1,4.03,No
1317,HH001318,184.74,3,apartment,municipal,26.75,186.34,No,Urban,Low,1,7.4,No
1318,HH001319,169.52,3,apartment,municipal,27.83,168.59,No,Urban,High,2.0,8.75,No
1334,HH001335,207.43,5.0,house,borewell,30.74,202.89,No,Urban,Medium,1,9.33,No
1335,HH001336,183.15,3.0,apartment,municipal,25.54,184.27,No,Urban,Low,1.0,9.84,No
1336,HH001337,169.33,4.0,house,municipal,26.82,167.04,No,Rural,Low,1,9.89,No
1338,HH001339,180.59,4.0,apartment,municipal,29.73,187.12,No,Urban,Medium,1,8.91,No
1346,HH001347,72.3,2.0,house,municipal,10.88,73.72,No,Suburban,High,1,9.11,No
1348,HH001349,131.66,2.0,apartment,municipal,19.27,136.6,No,Urban,Medium,1.0,3.0,No
1349,HH001350,188.76,3,apartment,municipal,27.77,184.06,No,Suburban,Medium,2.0,4.0,No
1359,HH001360,209.17,5.0,apartment,municipal,28.61,212.62,No,Urban,High,2.0,7.84,Yes
1360,HH001361,199.23,3,apartment,municipal,28.48,194.37,No,Rural,Medium,4.0,6.2,No
1363,HH001364,151.35,3.0,apartment,rainwater harvesting,22.13,151.25,No,Urban,Medium,2.0,6.15,No
1371,HH001372,285.59,5.0,apartment,municipal,40.99,286.74,No,Urban,Low,2.0,13.31,No
1379,HH001380,291.3,5.0,apartment,municipal,46.24,289.93,No,Urban,Medium,1,10.54,No
1384,HH001385,237.1,3,apartment,municipal,34.15,241.59,No,Urban,Low,3.0,11.76,Yes
1396,HH001397,132.64,3.0,apartment,rainwater harvesting,21.12,140.71,No,Rural,Medium,2.0,10.44,No
1397,HH001398,151.42,3,apartment,municipal,24.53,152.97,No,Urban,Medium,2.0,10.52,No
1405,HH001406,162.16,5.0,apartment,municipal,26.75,173.28,No,Suburban,Medium,1.0,5.5,Yes
1407,HH001408,275.07,4.0,apartment,municipal,40.4,278.13,Yes,Urban,Medium,1.0,6.24,No
1408,HH001409,183.87,2.0,apartment,borewell,27.92,186.03,No,Suburban,Medium,1.0,8.12,No
1427,HH001428,144.84,3,apartment,municipal,23.16,145.29,No,Urban,Medium,1,11.16,No
1433,HH001434,170.85,5.0,apartment,rainwater harvesting,26.25,165.77,No,Suburban,High,1,11.88,No
1436,HH001437,187.57,8.0,apartment,municipal,26.49,194.23,Yes,Urban,High,1.0,3.0,No
1437,HH001438,280.37,5.0,apartment,municipal,43.16,278.54,No,Urban,Medium,2.0,3.0,No
1448,HH001449,261.91,3,house,municipal,41.93,272.81,No,Suburban,Low,1,3.76,No
1461,HH001462,138.79,2.0,apartment,municipal,21.43,128.87,No,Urban,Low,1,7.11,No
1463,HH001464,157.47,3.0,apartment,municipal,21.64,156.76,No,Urban,Medium,1.0,6.96,No
1476,HH001477,193.95,3,apartment,municipal,28.1,195.36,No,Urban,Medium,1.0,12.6,No
1487,HH001488,111.96,3,apartment,municipal,16.4,112.67,No,Urban,Medium,3.0,12.35,No
1489,HH001490,263.13,5.0,house,municipal,43.15,261.71,No,Suburban,Medium,1,5.01,No
1512,HH001513,164.16,3,apartment,municipal,22.42,165.06,No,Urban,Medium,2.0,9.2,Yes
